source,destination
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-buffering/track-buffering-js/track-buffering-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-buffering/track-buffering-js/track-buffering-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-buffering/track-buffering-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-buffering/track-buffering-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-buffering/track-buffering-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-buffering/track-buffering-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-js/track-seeking-js.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-js/track-seeking-js.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-js/track-seeking-js3.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-js/track-seeking-js3.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-chromecast.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-chromecast.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/track-seeking/track-seeking-roku.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/track-seeking/track-seeking-roku.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-android.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-metadata-android.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/impl-std-metadata-ios.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/impl-std-metadata-ios.html
https://experienceleague.adobe.com/docs/media-analytics/using/sdk-implement/track-av-playback/impl-std-metadata/ios-metadata-keys.html,https://experienceleague.adobe.com/docs/media-analytics/using/track-av-playback/impl-std-metadata/ios-metadata-keys.html
